section,run_id,method,n,metric,mean,std
chrono_main,r022_itransformer_forecaster_atlasv2_public,iTransformer-Forecaster,3,AUROC,,
chrono_main,r022_itransformer_forecaster_atlasv2_public,iTransformer-Forecaster,3,LogLoss,,
chrono_main,r022_itransformer_forecaster_atlasv2_public,iTransformer-Forecaster,3,ECE@10,,
chrono_main,r022_itransformer_forecaster_atlasv2_public,iTransformer-Forecaster,3,BestF1,,
chrono_main,r022_itransformer_forecaster_atlasv2_public,iTransformer-Forecaster,3,Precision@P80,0.0,0.0
chrono_main,r022_itransformer_forecaster_atlasv2_public,iTransformer-Forecaster,3,Recall@P80,0.0,0.0
chrono_main,r007_pure_knn_atlasv2_public,Pure-kNN-Retrieval,3,AUPRC,0.046283128636069815,0.0
chrono_main,r007_pure_knn_atlasv2_public,Pure-kNN-Retrieval,3,LeadTime@P80,0.0,0.0
chrono_main,r007_pure_knn_atlasv2_public,Pure-kNN-Retrieval,3,Brier,0.044000000119209286,0.0
chrono_main,r007_pure_knn_atlasv2_public,Pure-kNN-Retrieval,3,Analog-Fidelity@5,69.88235294117648,0.0
chrono_main,r007_pure_knn_atlasv2_public,Pure-kNN-Retrieval,3,TTE-Err@1,29.285715103149414,0.0
chrono_main,r007_pure_knn_atlasv2_public,Pure-kNN-Retrieval,3,AUROC,,
chrono_main,r007_pure_knn_atlasv2_public,Pure-kNN-Retrieval,3,LogLoss,,
chrono_main,r007_pure_knn_atlasv2_public,Pure-kNN-Retrieval,3,ECE@10,,
chrono_main,r007_pure_knn_atlasv2_public,Pure-kNN-Retrieval,3,BestF1,,
chrono_main,r007_pure_knn_atlasv2_public,Pure-kNN-Retrieval,3,Precision@P80,0.0,0.0
chrono_main,r007_pure_knn_atlasv2_public,Pure-kNN-Retrieval,3,Recall@P80,0.0,0.0
chrono_main,r008_prefix_retrieval_atlasv2_public,Prefix-Only-Retrieval + Fusion,3,AUPRC,0.273669471476489,0.05470010348230541
chrono_main,r008_prefix_retrieval_atlasv2_public,Prefix-Only-Retrieval + Fusion,3,LeadTime@P80,0.0,0.0
chrono_main,r008_prefix_retrieval_atlasv2_public,Prefix-Only-Retrieval + Fusion,3,Brier,0.0373837433171401,0.001019526736362102
chrono_main,r008_prefix_retrieval_atlasv2_public,Prefix-Only-Retrieval + Fusion,3,Analog-Fidelity@5,70.62745098039215,1.2536758716192737
chrono_main,r008_prefix_retrieval_atlasv2_public,Prefix-Only-Retrieval + Fusion,3,TTE-Err@1,29.761905034383137,2.3570226039551585
chrono_main,r008_prefix_retrieval_atlasv2_public,Prefix-Only-Retrieval + Fusion,3,AUROC,,
chrono_main,r008_prefix_retrieval_atlasv2_public,Prefix-Only-Retrieval + Fusion,3,LogLoss,,
chrono_main,r008_prefix_retrieval_atlasv2_public,Prefix-Only-Retrieval + Fusion,3,ECE@10,,
chrono_main,r008_prefix_retrieval_atlasv2_public,Prefix-Only-Retrieval + Fusion,3,BestF1,,
chrono_main,r008_prefix_retrieval_atlasv2_public,Prefix-Only-Retrieval + Fusion,3,Precision@P80,0.0,0.0
chrono_main,r008_prefix_retrieval_atlasv2_public,Prefix-Only-Retrieval + Fusion,3,Recall@P80,0.0,0.0
chrono_main,r239_tracer_adaptive_chronology_atlasv2_public,TRACER,3,AUPRC,0.6771236699808129,0.080509477698165
chrono_main,r239_tracer_adaptive_chronology_atlasv2_public,TRACER,3,LeadTime@P80,6.388888835906982,1.0393492599438652
chrono_main,r239_tracer_adaptive_chronology_atlasv2_public,TRACER,3,Brier,0.036526129891475044,0.00047987327122146967
chrono_main,r239_tracer_adaptive_chronology_atlasv2_public,TRACER,3,Analog-Fidelity@5,,
chrono_main,r239_tracer_adaptive_chronology_atlasv2_public,TRACER,3,TTE-Err@1,,
chrono_main,r239_tracer_adaptive_chronology_atlasv2_public,TRACER,3,AUROC,0.9795501022494888,0.003941202910672485
chrono_main,r239_tracer_adaptive_chronology_atlasv2_public,TRACER,3,LogLoss,0.12589330139537874,0.0034442246747426013
chrono_main,r239_tracer_adaptive_chronology_atlasv2_public,TRACER,3,ECE@10,0.03044362173668917,0.002694044263655743
chrono_main,r239_tracer_adaptive_chronology_atlasv2_public,TRACER,3,BestF1,0.712280701754386,0.017367534976511643
chrono_main,r239_tracer_adaptive_chronology_atlasv2_public,TRACER,3,Precision@P80,1.0,0.0
chrono_main,r239_tracer_adaptive_chronology_atlasv2_public,TRACER,3,Recall@P80,0.2857142857142857,0.11664236870396086
raw_public_main,r026_tail_risk_linear_atlas_raw_public,LR-TailRisk,3,AUPRC,0.059720024321395386,0.03926176474652452
raw_public_main,r026_tail_risk_linear_atlas_raw_public,LR-TailRisk,3,LeadTime@P80,1.6666666666666667,2.3570226039551585
